# it, nbPoule, nbRenard, nbVipere
1556,23,9,8
1557,23,9,8
1558,23,9,8
1559,23,9,8
1560,23,9,8
1561,23,9,8
1562,23,9,8
1563,23,9,8
1564,23,9,8
1565,23,9,8
1566,23,10,8
1567,23,10,8
1568,23,10,8
1569,23,10,8
1570,23,10,8
1571,23,10,8
1572,25,10,8
1573,25,10,8
1574,25,10,8
1575,25,10,8
1576,25,10,8
1577,25,10,8
1578,25,9,8
1579,25,9,8
1580,25,9,8
1581,25,9,8
1582,25,9,8
1583,25,9,8
1584,25,9,8
1585,25,9,8
1586,25,9,8
1587,25,9,8
1588,25,9,8
1589,25,9,8
1590,25,9,8
1591,25,9,8
1592,25,9,8
1593,25,9,8
1594,25,9,8
1595,25,9,8
1596,26,9,9
1597,26,9,9
1598,26,9,9
1599,26,9,9
1600,26,9,9
1601,26,9,9
1602,26,8,9
1603,26,8,9
1604,26,8,9
1605,26,8,9
1606,26,8,9
1607,26,8,9
1608,26,8,9
1609,26,8,9
1610,26,8,9
1611,26,8,9
1612,26,8,9
1613,26,8,9
1614,26,8,9
1615,26,8,9
1616,26,8,9
1617,26,8,9
1618,26,8,9
1619,26,8,9
1620,26,8,9
1621,26,8,9
1622,26,8,9
1623,26,8,9
1624,26,8,9
1625,26,8,9
1626,26,8,8
1627,26,8,8
1628,26,8,8
1629,26,8,8
1630,26,8,8
1631,26,8,8
1632,25,8,8
1633,25,8,8
1634,25,8,8
1635,25,8,8
1636,25,8,8
1637,25,8,8
1638,25,8,8
1639,25,8,8
1640,25,8,8
1641,25,8,8
1642,25,8,8
1643,25,8,8
1644,24,8,8
1645,24,8,8
1646,24,8,8
1647,24,8,8
1648,24,8,8
1649,24,8,8
1650,24,8,7
1651,24,8,7
1652,24,8,7
1653,24,8,7
